Total amount,0-30 days,31-90 days,91-120 days,"120 days and
above"
Shs’million,Shs’million,Shs’million,Shs’million,Shs’million
"1,732","1,212",346,173,-
"1,501",120,630,750,-
409,379,30,,
608,346,81,49,130
