VOLUME,2009,2008
,Shares % Holding Holders,Shares % Holding Holders
,"243,859 0.07% 1,092","237,802 0.07% 1,081"
,"2,469,721 0.68% 1,219","2,449,731 0.67% 1,212"
,"1,654,081 0.46% 231","1,621,216 0.45% 226"
,"11,219,832 3.09% 358","11,650,606 3.21% 363"
,"25,832,930 7.12% 90","23,710,753 6.53% 85"
,"321,538,852 88.58% 9","323,289,167 89.07% 10"
,"362,959,275 100.00% 2,999","362,959,275 100.00% 2,977"
