Column,"2,168",Column,"2,174","2,011","2,012"
"1,561",,"1,507",,,
,"1,561",,"1,507","1,531","1,482"
,2,,6,2,6
,20,,19,20,19
,14,,13,10,10
,310,,89,135,98
,(4),,(116),(4),(13)
,"(1,648)",,(74),(322),(73)
