"EUR
Shs’million","USD
Shs’million","TOTAL
Shs’million"
-,,430
299,,"5,141"
299,,"5,571"
183,,"1,024"
116,,"4,547"
-,,570
132,,"4,361"
132,,"4,931"
9,,341
123,,"4,590"
