Kshs million,2004,2003
Cash atthe beginning ofthe year,849,659
Cash from operations before tax,"3,761","2,823"
Net interest paid,(35),(77)
Taxes paid,(847),(950)
"Investing activities:
ARM shares sale
Purchase offixed assets net ofsales","56
(205)","25
(307)"
"Financing:
Dividend received
Dividends to Bamburi shareholders
Dividend to minority interests inHima
Loan repayments","7
(2,738)
(165)
0","15
(1,270)
(84)
(4)"
Effects ofexchange rate changes,(51),19
Cash atthe end ofthe year,632,849
