Non-Executive Director Remuneration,Column,Column,Column,Column,Column,Column
Name,"Annual
Fees","Sitting
Allowance1","Total
2019","Annual
Fees","Sitting
Allowance","Total
2018"
,"1,554,114","2,151,849","3,705,963",,,
,"691,080","2,032,299","2,723,379",,,
,"691,080","1,075,923","1,767,003",,,
,"691,080","1,912,752","2,603,832",,,
,"691,080","2,032,299","2,723,379",,,
,"691,080","1,793,205","2,484,285",,,
,"5,009,514","10,998,327","16,007,841",,,
