GRI STANDARD,DISCLOSURE,LOCATION
GRI General Disclosures,,
GRI 303: Water and Effluents,303-1 Interactions with water as a shared resource,"Material Topic, Nature and Water"
,"303-2 Management of water discharge-related
impacts","Material Topic, Nature and Water"
,303-3 Water withdrawal,"Material Topic, Nature and Water"
,303-4 Water discharge,"Material Topic, Nature and Water"
,303-5 Water consumption,"Material Topic, Nature and Water"
GRI 304: Biodiversity,"304-1 Operational sites owned, leased, managed
in, or adjacent to, protected areas and areas of
high biodiversity value outside protected areas","Material Topic, Nature and Water"
,"304-2 Significant impacts of activities, products
and services on biodiversity","Material Topic, Nature and Water"
,304-3 Habitats protected or restored,"Material Topic, Nature and Water"
,"304-4 IUCN Red List species and national conser-
vation list species with habitats in areas affected
by operations","Material Topic, Nature and Water"
GRI 305: Emissions,305-1 Direct (Scope 1) GHG emissions,"Material Topic, Climate & Energy"
,305-2 Energy indirect (Scope 2) GHG emissions,"Material Topic, Climate & Energy"
,305-3 Other indirect (Scope 3) GHG emissions,"Material Topic, Climate & Energy"
,305-4 GHG emissions intensity,"Material Topic, Climate & Energy"
,305-5 Reduction of GHG emissions,"Material Topic, Climate & Energy"
,"305-6 Emissions of ozone-depleting substances
(ODS)","Material Topic, Climate & Energy"
,"305-7 Nitrogen oxides (NOx), sulphur oxides
(SOx), and other significant air emissions","Material Topic, Climate & Energy"
GRI 306: Waste,"306-1 Waste generation and significant waste-re-
lated impacts","Material Topic, Circular Economy"
,"306-2 Management of significant waste-related
impacts","Material Topic, Circular Economy"
,306-3 Waste generated,"Material Topic, Circular Economy"
,306-4 Waste diverted from disposal,"Material Topic, Circular Economy"
,306-5 Waste directed to disposal,"Material Topic, Circular Economy"
,"305-6 Emissions of ozone-depleting substances
(ODS)","Material Topic, Climate & Energy"
"GRI 308: Supplier
Environmental Assessment","308-1 New suppliers that were screened using
environmental criteria","Material Topic, Sustainable Procurement"
,"308-2 Negative environmental impacts in the
supply chain and actions taken","Material Topic, Sustainable Procurement:
Environment and Emissions"
GRI 401: Employment,"401-1 New employee hires and employee turn-
over",
,"401-2 Benefits provided to full-time employees
that are not provided to temporary or part-time
employees",Financial Review
,401-3 Parental leave,
"GRI 402: Labor/Management
Relations","402-1 Minimum notice periods regarding
operational changes",Corporate Governance
"GRI 403: Occupational Health
and Safety","403-1 Occupational health and safety
management system",Health and Safety
