Total amount,0-30 days,31-90 days,91-120 days,"120 days and
above"
Shs’million,Shs’million,Shs’million,Shs’million,Shs’million
"3,467","2,684",487,296,-
"1,417",142,420,420,435
561,561,-,-,-
651,245,406,-,-
