Notes,"2009
Shs’million","2008
Shs’million"
"33
5
9
11(c)","10,669
85
(14)
(1,732)","5,887
10
(74)
(1,677)
4,146
(5,876)
-
4
32
(5,840)
(1,343)
6,379
-
(1,867)
3,169
1,475
259
1,475
24
1,758"
,"9,008",
"20 (c)
5","(3,281)
1,346
5
18",
,"(1,912)",
"14(b)
30(b)
30(c)
30(b)","(1,561)
-
239
(1,104)",
,"(2,426)",
,"4,670",
,"1,758
4,670
(1)",
24(b),"6,427",
