Column,GROUP,Column,COMPANY,Column
,2012,2011,2012,2011
,Shs’million,Shs’million,Shs’million,Shs’million
"At beginning of year
Income statement charge – note 12 (a)
Prior years over provision – note 12 (a)
Foreign exchange differences
Deferred tax on revaluation surplus
At end of year","3,076
452
(7)
111
401
4,033","2,620
779
(1)
(322)
-
3,076","1,527
(93)
(2)
-
183
1,615","1,707
(180)
-
-
1,527"
