GROUP COMPANY,Column,Column
,"2013
Shs’million","2012
Shs’million"
"a) Unclaimed dividends
At beginning of year
Declared during the year - note 14(b)
Dividends claimed in the year
Dividends written back","23
3,811
(3,808)
-","29
3,630
(3,630)
(6)"
At end of year,26,23
"b) Payments during the year 2013 and 2012:
Final dividend for previous years
Interim dividend for current year","3,085
726","2,904
726"
,"3,811","3,630"
"c) Dividends declared/proposed in respect of the year
Interim dividend - paid in the year
Proposed for approval at the annual general meeting
(not recognised as a liability as at 31 December):","726
3,267","726
3,085"
,"3,993","3,811"
Dividends per share (based on number of shares per note 13),Shs 11.00,Shs 10.50
