Name,Salary,Column,Bonus,Column,Allowances,Column,"Non-cash
Benefits 1",Column,"Pension/Social
Security",Column,Total,Total
,2023,2022,2023,2022,2023,2022,2023,2022,2023,2022,2023,2022
,"Kes
‘000","Kes
‘000","Kes
‘000","Kes
‘000","Kes
‘000","Kes
‘000","Kes
‘000","Kes
‘000","Kes
‘000","Kes
‘000","Kes
‘000","Kes
‘000"
Seddiq Hassani,"11,371","44,616","3,166","9,215","8,400","9,154","1,570","6,138","4,371","12,707","28,878","81,831"
Mohit Kapoor,"49,188",-,-,-,"16,606",-,"6,895",-,"3,315",-,"76,004",-
Vasileios Karalis,"9,788","27,579","1,615","1,893","2,890","5,753","1,295","4,679",978,"2,864","16,567","42,768"
Eugene Antera,"4,819",-,-,-,"1,893",-,500,-,585,-,"7,797",-
"Grace Auma
Oluoch",-,"25,506",-,"3,560",-,542,-,91,-,360,-,"30,060"
"Jean Michel
Pons","58,306","44,847","1,956","10,801","9,170","7,280","12,123","4,432","3,260","2,686","84,815","70,046"
,"133,472","142,548","6,737","25,469","38,959","22,729","22,383","15,340","12,509","18,617","214,060","224,704"
