Notes,"2010
Shs’million","2009
Shs’million"
"15(a)
16
17
18
20
21","17,833
187
76
1,219
911
217","11,847
9
101
6,259
906
217
19,339
9
4,338
1,999
-
6,427
12,773
32,112
1,815
2,249
703
56
-
14,674
19,497
1,444
20,941
2,445
581
2,962
239
6,227
356
30
202
3,986
370
-
4,944
32,112"
,"20,443",
"11(c)
22
23(a)
24
25(a)","10
3,523
1,686
28
7,616",
,"12,863",
,"33,306",
"26
27(a)
27(b)
27(c)
27(d)","1,815
2,063
708
(377)
25
15,931",
,"20,165
1,461",
,"21,626",
"28
29
31(a)
31(b)","2,620
529
-
1,067",
,"4,216",
"11(c)
14(a)
29
30
31(a)
31(b)","72
30
261
5,215
-
1,886",
,"7,464",
,"33,306",
