New and amendments to Standards,"Effective date on annual periods beginning
on or after"
IFRS 17: Insurance Contracts,1 January 2023
"IFRS 10 and IAS 28 (amendments): Sale or Contribu-
tion of Assets between an Investor and its Associate
or Joint Venture","1 January 2023, with early application
permitted."
"Amendments to IAS 1: Classification of Liabilities as
Current or Non-current",One year deferral to1 January 2023
"Amendments to IFRS 3: Reference to the
Conceptual Framework","1 January 2022, with early application
permitted."
"Amendments to IAS 16: Property, Plant and
Equipment—Proceeds before Intended Use","1 January 2022, with early application
permitted."
"Amendments to IAS 37: Onerous Contracts – Cost
of Fulfilling a Contract","1 January 2022, with early application
permitted."
"Annual Improvements to IFRS Standards 2019-2021
Cycle: Amendments to IFRS 1 First-time Adoption
of International Financial Reporting Standards, IFRS
9 Financial Instruments, IFRS 16 Leases, and IAS 41
Agriculture","1 January 2022, with early application
permitted."
"Amendments to IAS 1 and IFRS Practice Statement 2
Disclosure of Accounting Policies","1 January 2023, with early application
permitted and are applied prospectively.
The amendments to IFRS Practice Statement
2 do not contain an effective date or transition
requirements."
"Amendments to IAS 8
Definition of Accounting Estimates","1 January 2023, with early application
permitted."
"Amendments to IAS 12
Deferred Tax related to Assets and Liabilities arising
from a Single Transaction","1 January 2023, with early application
permitted."
