Name of Directors,24 Feb,5 May,9 June,3 August,19 Nov
S. M’Mbijjewe,√,√,√,√,√
C. Kisire,√,√,√,√ x,
A. Kazongo,√,√,x,x,x
D. Brugier,√,√,x,x,√
Auditors,,,,,
S. Kibirige,√,√,√,√,√
Deloitte & Touche,√,√,n/a,n/a,√
