Volume,Number of Shares,%,Number of Holders
,"259,325",0.07%,"1,306"
,"2,443,526",0.67%,"1,244"
,"1,672,124",0.46%,239
,"14,253,965",3.93%,431
,"43,556,100",12.00%,135
,"300,774,235",82.87%,17
,"362,959,275",100.00%,"3,372"
