Group,Column,Column,Company,Column,Column
"Long service
award
Shs’million","Gratuity
Shs’million","Total
Shs’million","Long service
award
Shs’million","Gratuity
Shs’million","Total
Shs’million"
80,,675,,556,
7,,87,,52,
(9),,(84),,(73),
9,,81,,63,
(12),,(47),,(29),
75,,712,,569,
5,,83,,73,
70,,629,,496,
75,,712,,569,
