Non-Executive Director Remuneration,Column,Column,Column,Column,Column,Column
Name,"Annual
Fees","Sitting
Allowance1",Total 2020,"Annual
Fees","Sitting
Allowance",Total 2019
,"1,554,114","2,271,396","3,825,510",,,
,"454,460","1,315,017","1,769,477",,,
,"691,080","1,673,658","2,364,738",,,
,"691,080","1,912,752","2,603,832",,,
,"691,080","1,434,564","2,125,644",,,
,"691,080","1,912,752","2,603,832",,,
,0,"239,094","239,094",,,
,"236,620",0,"236,620",,,
,"5,009,514","10,759,233","15,768,747",,,
