Column,GROUP,Column,Column,Column,COMPANY,Column,Column
"2022 Kes’
Millions",2022 Kes’,"2021 Kes’
Millions",2021 Kes’,"2022 Kes’
Millions",2022 Kes’,"2021 Kes
‘Millions",2021 Kes
,Millions,,Millions,,Millions,,‘Millions
,,"1,423
6,517
35,332
(14)",,,,,
,"1,681",,,,501,,
,"6,772",,,,"2,399",,
,"37,270",,,,"14,334",,
,1,,,,,,
"45,724",,"42,258",,"17,234",,,
,"45,724",,,,"17,234",,
,,"(176)
(2,540)
(17,183)
(14)",,,,,
,(303),,,,(1),,
,"(2,943)",,,,(777),,
,"(19,222)",,,,"(8,415)",,
,1,,,,-,,
"(22,467)",,"(19,913)",,"(9,193)",,,
"23,257",,"23,345",,"8,041",,,
