"Freehold land
and residential
buildings","Plant and
machinery","(cid:54)(cid:1117)(cid:74)(cid:76)(cid:3)
equipment and
tools","Capital work-in-
progress **",Total
Shs’million,Shs’million,Shs’million,Shs’million,Shs’million
"12,036","38,250","1,853","6,749","58,888"
769,"1,856",125,"1,455","4,205"
-,"1,814",-,-,"1,814"
290,"5,900",129,"(6,319)",-
-,-,-,(13),(13)
-,(61),(8),-,(69)
-,(17),(108),(39),(164)
(59),(252),101,(168),(378)
"13,036","47,490","2,092","1,665","64,283"
"1,796","23,087","1,819",-,"26,736"
222,"1,570",90,-,"1,882"
-,-,(4),-,(4)
-,(17),(108),,(125)
(67),(268),(61),-,(430)
"1,951","24,372","1,736",-,"28,059"
"11,085","23,118",356,"1,665","36,224"
