Notes,"2009
Shs’million","2008
Shs’million"
4,"29,994
(16,447)","27,467
(14,915)
12,552
42
(39)
(1,895)
(2,205)
(2,491)
(74)
(1,001)
4,889
(1,477)
3,412
158
(700)
-
(542)
2,870
3,187
225
3,412
2,610
260
2,870
Shs 8.78
Shs 6.00"
"5
6
7
8
9
23(c)","13,547
103
1,557
(857)
(2,233)
(2,725)
(14)
218",
"10
11","9,596
(2,626)",
12,"6,970",
"20(b)
20(c)","67
60
(1,197)",
,"(1,070)",
,"5,900",
,"6,649
321",
,"6,970",
,"5,562
338",
,"5,900",
13,Shs 18.32,
14(c),Shs 11.00,
