a) Contingent Liabilities GROUP COMPANY,Column,Column,Column,Column
,"2013
Shs’million","2012
Shs’million","2013
Shs’million","2012
Shs’million"
"Bonds issued by the Group’s bankers
in favour of Kenya Revenue Authority
Bonds/guarantees issued by the
Group’s bankers in favour of other parties","252
407","662
228","106
353","576
220"
At end of year,659,890,459,796
