At 1 Jan. 16,"Profit or loss
Note 12(a)","Other
comprehensive
income (Note
12(a)","Foreign
Exchange
Adjustment*",At 31 Dec. 16
Shs’million,Shs’million,Shs’million,,Shs’million
"3,747",(442),-,(148),"3,157"
(217),9,14,(10),(204)
(93),13,-,9,(71)
59,77,-,(34),102
-,(26),-,15,(11)
(26),(6),-,(7),(39)
(46),8,-,-,(38)
2,-,-,-,2
(61),(167),-,4,(224)
"3,365",(534),14,(171),"2,674"
