Column,2024,Column,Column,Column,2024,Column,Column
,Kes’million,,,,Kes’million,,
,977,,997,,925,,919
,921,,644,,544,,569
(152),,(456),,(127),,(282),
,(152),,(456),,(127),,(282)
,"1,746",,"1,185",,"1,342",,"1,206"
,126,,106,,118,,97
-,,83,,785,,683,
,-,,83,,785,,683
,"1,872",,"1,374",,"2,245",,"1,986"
