Notes,"2009
Shs’million","2008
Shs’million"
"15(a)
16
17
18
20
21","11,847
9
101
6,259
906
217","10,267
9
23
5,477
2,186
217
18,179
403
5,001
2,814
1,818
10,036
28,215
1,815
2,445
1,840
19
9,377
15,496
1,106
16,602
2,222
540
3,408
-
6,170
62
30
91
4,096
1,104
60
5,443
28,215"
,"19,339",
"11(c)
22
23(a)
24(a)","9
4,338
1,999
6,427",
,"12,773",
,"32,112",
"25
26(a)
26(b)
26(c)","1,815
2,249
703
56
14,674",
,"19,497
1,444",
,"20,941",
"27
28
30(b)
30(c)","2,445
581
2,962
239",
,"6,227",
"11(c)
14(a)
28
29
30(b)
30(a)","356
30
202
3,986
370
-",
,"4,944",
,"32,112",
