Director,Category,"Board
Meeting","Audit & Risk
Committee","NR&HR
Committee",AGM
,Non-executive,5/5,-,4/4,1/1
,Non-executive,2/2,2/2,-,1/1
,Non-executive,0/2,-,-,0/1
,Non-executive,5/5,-,1/1,-
,Non-executive,5/5,2/2,-,1/1
,Non-executive,2/2,2/2,3/3,1/1
,Executive,3/4,3/3,3/3,1/1
,Executive,4/4,2/3,-,1/1
,Executive,5/5,4/4,1/1,1/1
,Non-executive,3/4,2/2,-,1/1
,Non-executive,3/4,-,1/1,1/1
,Non-executive,3/4,2/2,-,0/1
,Non-executive,2/2,-,-,-
,Alternate,1/1,-,-,-
