Kenya,Column,Uganda,"Adjustments
and eliminations",Consolidated
"Revenue :
External customers
Inter-segment
Total revenue
Cost of sales","20,470
3,988","17,021
365","-
(4,353)","37,491
-"
,"24,458
(18,151)","17,386
(13,459)","(4,353)
3,975","37,491
(27,635)"
Gross profit,"6,307","3,927",(378),"9,856"
"Gross profit margin
Interest income
Interest expense
Profit before tax
Income tax expense","26%
642
-
5,486
(1,570)","23%
9
(251)
2,277
(724)","-
-
-
(587)
-","26%
651
(251)
7,176
(2,294)"
Profit for the year,"3,916","1,553",(587),"4,882"
Segment assets,"31,574","14,621","(3,157)","43,038"
Segment liabilities,"7,418","6,241","(1,482)","12,177"
Capital additions,652,623,-,"1,275"
Depreciation and amortization,817,505,-,"1,322"
