Kenya,Uganda,"Adjustments
and eliminations",Consolidated
"23,048","14,214",-,"37,262"
380,-,(380),-
"23,428","14,214",(380),"37,262"
"(18,647)","(12,200)",380,"(30,467)"
"4,781","2,014",-,"6,795"
21%,14%,-,18%
47,-,-,47
96,7,-,103
51,197,-,248
153,-,-,153
"1,730","(1,050)",-,680
(199),133,-,(66)
"1,531",(917),-,614
"29,640","21,476",(974),"50,142"
"4,998","6,077",(148),"10,927"
"1,206",805,-,"2,011"
-,39,-,39
