Column,Notes,"2013
Shs’million","2012
Shs’million"
"Revenue
Cost of sales
Gross profit
Investment income
Other gains and losses
Distribution costs
Marketing expenses
Administration expenses
Other expenses
Finance costs
Profit before tax
Tax charge","4
5","33,928
(25,411)","37,491
(27,635)"
,,"8,517","9,856"
,"6
7
8
9
10","473
(78)
(73)
(168)
(1,435)
(1,599)
(121)","657
(71)
(115)
(154)
(1,363)
(1,383)
(251)"
,11(a),"5,516","7,176"
,12(a),"(1,843)","(2,294)"
Profit for the year,,"3,673","4,882"
"OTHER COMPREHENSIVE INCOME
Other comprehensive income to be reclassified
to profit or loss in subsequent periods:
Exchange differences on translation of foreign operations
Income tax effect
Net gain /(loss) on revaluation of available-for-sale financial assets
Income tax effect
Loss on hedging instruments entered into for cash flow hedges
Income tax effect
Net other comprehensive income to be reclassified
to profit or loss in subsequent periods:
Other comprehensive income not to be reclassified
to profit or loss in subsequent periods:
Actuarial gain
Income tax effect
Gain/(loss) on revaluation of property, plant and equipment
Revaluation adjustment on land and buildings
Income tax effect
Net other comprehensive income not to be reclassified
to profit or loss in subsequent periods:",,"554
-","(797)
-"
,19(b),"554
335
-","(797)
(188)
-"
,25(d),"335
-
-","(188)
(33)
-"
,,"-
889","(33)
(1,018)"
,27,"47
(14)","-
-"
,15(a),"33
-
(20)
6","-
7,259
-
(411)"
,,"(14)
19","6,848
6,848"
OTHER COMPREHENSIVE INCOME FOR THE YEAR NET OF TAX,,908,"5,830"
TOTAL COMPREHENSIVE INCOME FOR THE YEAR,,"4,581","10,712"
"Profit for the year attributable to:
Owners of the parent company
Non-controlling interests",,"3,468
205","4,416
466"
,,"3,673","4,882"
"Total comprehensive income attributable to:
Owners of the parent company
Non-controlling interests",,"4,374
205","10,086
626"
,,"4,581","10,712"
Earnings per share – basic and diluted,13,Shs 9.55,Shs 12.17
