Share,"Asset
revaluation",Fair value,Retained,Total
capital,reserve,reserve,earnings,equity
Shs’million,Shs’million,Shs’million,Shs’million,Shs’million
Note 24,Note 25(a),Note 25(b),,
"1,815","6,990",75,"11,000","19,880"
-,-,-,841,841
-,"4,133",27,39,"4,199"
-,"4,133",27,880,"5,040"
-,(224),-,224,-
-,-,-,"(2,178)","(2,178)"
-,-,-,(907),(907)
-,-,-,"(3,085)","(3,085)"
"1,815","10,899",102,"9,019","21,835"
