Description of asset/liability,Classification
Other equity investments,Available-for-sale investments
Trade and other receivables,Loans and receivables
Loan to subsidiary,Loans and receivables
Cash and cash equivalents-Cash,Loans and receivables
and bank balance,
Cash and cash equivalents-Cash,Held to maturity investments
deposits with related party,
Cash and cash equivalents-Short,Held to maturity investments
term deposits-Held to maturity,
Loans payable and borrowings,Loans and borrowings.
Trade and other payables,Loans and borrowings.
Cash flow hedge contracts,Derivative financial instruments
