Director,Category,"Board
Meeting","Audit
Committee","N&CG
Committee",AGM
,Non-executive,5/5,-,2/2,1/1
,Non-executive,5/5,4/4,-,1/1
,Non-executive,2/5,1/4,-,0/1
,Non-executive,5/5,4/4,2/2,1/1
,Executive,4/5,-,-,1/1
,Non-executive,1/5,-,-,0/1
,Executive,5/5,-,2/2,1/1
,Executive,5/5,-,-,1/1
,Non-executive,1/1,-,-,-
,Non-executive,2/2,-,-,-
,Non-executive,0/2,-,-,-
,Alternate,2/2,-,-,-
