Column,Column,Adjustments,Column
Kenya,Uganda,and eliminations,Consolidated
"21,261","16,773",-,"38,034"
"3,064",-,"(3,064)",-
"24,325","16,773","(3,064)","38,034"
"(16,919)","(10,935)","3,064","(24,790)"
"7,406","5,838",-,"13,244"
30%,35%,-,35%
428,30,(89),369
-,-,-,-
"5,301","3,059",(89),"8,271"
"(1,480)",(901),-,"(2,381)"
"3,821","2,158",(89),"5,890"
"26,473","15,272",(934),"40,811"
"6,461","5,122",(591),"10,992"
284,157,-,441
"1,034",571,-,"1,605"
