VOLUME,NUMBER OF SHARES,%,"NUMBER OF
HOLDERS"
,"249,784",0.07%,"1,222"
,"2,455,152",0.67%,"1,220"
,"1,635,718",0.45%,230
,"13,353,224",3.68%,396
,"42,088,768",11.60%,134
,"303,176,629",83.53%,16
,"362,959,275",100.00%,"3,218"
