Revenue:,Kenya,Uganda,Adjustments and eliminations,Consolidated
,"19,864",,-,
,"3,415",,"(3,415)",
,"23,279",,"(3,415)",
,"(17,331)",,"3,333",
,"5,948",,(82),
,26%,,2%,
,343,,-,
,-,,-,
,"4,490",,(399),
,"(1,338)",,-,
,"3,152",,(399),
,"30,376",,"(2,757)",
,"7,990",,"(1,127)",
,393,,-,
,"1,022",,-,
