"At
1.1.2017","Profit or loss
(Note 12 (a))","Other
comprehensive
income","At
31.12.2017"
Shs’million,Shs’million,Shs’million,Shs’million
"1,065",(38),"1,771","2,798"
(22),(6),-,(28)
(38),(6),-,(44)
90,(81),-,9
(184),13,4,(167)
(133),50,-,(83)
(10),10,-,(-)
(15),(7),-,(22)
-,(24),-,(24)
-,-,12,12
753,(89),"1,787","2,451"
