(cid:57)(cid:50)(cid:47)(cid:56)(cid:48)(cid:40)(cid:3),NUMBER OF SHARES,%,"NUMBER OF
(cid:43)(cid:50)(cid:47)(cid:39)(cid:40)(cid:53)(cid:54)(cid:3)"
,"251,954",0.07%,"1,368"
,"2,371,427",0.65%,"1,200"
,"1,580,357",0.44%,222
,"14,239,540",3.92%,418
,"46,845,417",12.91%,156
,"297,670,580",82.01%,13
,"362,959,275",100.00%,"3,377"
