Column,Notes,"2013
Shs’million","2012
Shs’million"
"Revenue
Cost of Sales","4
5","20,583
(14,527)","22,877
(17,002)"
Gross profit,,"6,056","5,875"
"Investment income
Other gains and losses
Distribution costs
Marketing expenses
Administration expenses
Other expenses
Profit before tax
Tax charge","6
7
8
9","683
(141)
2
(130)
(884)
(870)","1,238
(15)
26
(103)
(860)
(738)"
,11(a),"4,716","5,423"
,12(a),"(1,512)","(1,547)"
Profit for the year,,"3,204","3,876"
"OTHER COMPREHENSIVE INCOME
Other comprehensive income to be reclassified
to profit or loss in subsequent periods:
Gain/(loss) on revaluation of available-for-sale financial assets
Income tax effect
Loss on hedging instruments entered into for cash flow hedges
Income tax effect
Net other comprehensive income to be reclassified
to profit or loss in subsequent periods:
Other comprehensive income not to be reclassified
to profit or loss in subsequent periods:
Actuarial gains
Income tax effect
Gain on revaluation of property, plant and equipment
Income tax effect
Net other comprehensive income not to be reclassified
to profit or loss in subsequent periods:",19(b),"335
-","(188)
-"
,,"335
-","(188)
(15)"
,,"-
-","-
(15)"
,,335,(203)
,27,"36
(11)","-
-"
,,"25
-
-","-
6,501
(183)"
,,"-
25","6,318
6,318"
"OTHER COMPREHENSIVE INCOME FOR THE YEAR, NET OF TAX",,360,"6,115"
TOTAL COMPREHENSIVE INCOME FOR THE YEAR,,"3,564","9,991"
Earnings per share – basic and diluted,13,Shs 8.83,Shs 10.68
