Category,Description,"Basis for recognizing
Expected credit loss (ECL)"
Performing,"The counterparty has a low risk of default and does not have
any past-due amounts",Lifetime ECL
Under watch,"Amount is >30 days past due or there has been a significant
increase in credit risk since initial recognition",Lifetime ECL
Doubtful,"Amount is >90 days past due and there is evidence
indicating the asset is credit-impaired","Lifetime ECL - credit-
impaired"
Write-off,"There is evidence indicating that the debtor is in severe
financial difficulty and the Group/Company has no realistic
prospect of recovery unless the Company is holding a
bank guarantee covering the amount and or the amounts
are subject to court proceeding and the adverse probable
outcome is ranked high.",Amount is written off
