Category,Description,"Basis for recognizing Ex-
pected credit loss (ECL)"
Performing,"The counterparty has a low risk of default and does not have any
past-due amounts.",Lifetime ECL
Under watch,"Amount is >30 days past due or there has been a significant
increase in credit risk since initial recognition.",Lifetime ECL
Doubtful,"Amount is >90 days past due and there is evidence indicating
the asset is credit-impaired, and there no security held.","Lifetime ECL - credit-im-
paired"
Write-off,"There is evidence indicating that the debtor is in severe finan-
cial difficulty and the Group has no realistic prospect of recovery
of any amounts above the bank guarantee value and or the
amounts are subject to court proceeding and the adverse prob-
able outcome is ranked high.",Amount is written off
