"2020
Kes’million",Column,"2020
Kes’million"
,"1,371
6,085
28,342
-",
"1,483",,638
"6,184",,"2,307"
"29,753",,"13,015"
"1,461",,-
"38,881","35,798
(1)
(1,802)
(13,126)
-","15,960"
(1),,(1)
"(2,101)",,(676)
"(14,315)",,"(7,731)"
(516),,-
"(16,933)","(14,929)
20,869","(8,408)"
"21,948",,"7,552"
