"Long
service
award",Gratuity,Total,"Long
service
award",Gratuity,Total
Shs’million,Shs’million,Shs’million,Shs’million,Shs’million,Shs’million
40,533,573,22,492,514
6,38,44,3,36,39
(9),(126),(135),(5),(125),(130)
6,55,61,3,50,53
(2),(19),(21),(1),(16),(17)
-,(1),(1),-,-,-
41,480,521,22,437,459
6,36,42,5,33,38
35,444,479,17,404,421
41,480,521,22,437,459
