"At
(cid:24)(cid:3)(cid:49)(cid:72)(cid:85)(cid:92)(cid:72)(cid:89)(cid:96)(cid:3)
2018","(cid:55)(cid:89)(cid:86)(cid:196)(cid:91)(cid:3)(cid:86)(cid:89)(cid:3)(cid:15)(cid:83)(cid:86)(cid:90)(cid:90)(cid:16)(cid:3)
(Note 12(a))","Other
comprehensive
income (Note
12(a))","Foreign
exchange
adjustment/
other","At
31 December
2018"
Shs’million,Shs’million,Shs’million,Shs’million,Shs’million
"4,938","1,495",544,-,"6,977"
(183),(33),6,-,(210)
(68),7,-,-,(61)
30,-,-,-,30
8,(93),-,-,(85)
(47),12,-,-,(35)
(60),(24),-,(132),(216)
(5),5,-,-,-
(171),11,-,-,(160)
(13),3,-,-,(10)
36,(95),-,-,(59)
(23),5,-,-,(18)
(12),12,-,-,-
14,-,-,(23),(9)
12,(12),-,-,-
-,(66),-,-,(66)
-,(30),-,-,(30)
-,"(1,355)",-,-,"(1,355)"
"4,456",(158),550,(155),"4,693"
