"2011
Shs’million"
"35,884
(25,920 )"
"9,964"
"342
544
(213 )
(94 )
(1,151 )
(552 )
(374 )"
"8,466
(2,607 )"
"5,859"
"219
(271 )
8"
(44 )
"5,815"
"5,243
616"
"5,859"
"5,130
685"
"5,815"
Shs 14.44
Shs 10.00
