Column,GROUP,Column,COMPANY,Column
,2012 2011,,2012 2011,
,Shs’million,Shs’million,Shs’million,Shs’million
"11 (a) pROFIT BEFORE TAx
The profit before tax is arrived at after charging
Staff costs (note 11b)
Depreciation on property, plant and
equipment (Note 15(a)
Amortisation of intangible assets (Note 17)
Amortisation of leasehold land (Note 16)
Directors’ emoluments: (note 34 (iv))
Fees
Other emoluments
Auditors’ remuneration
(b) STAFF COSTS
Defined contribution plans and related benefits
Other employee benefits
Presented as:
Cost of sales (Note 5)
Administration expenses (Note 8)","2,354
1,278
36
8
4
123
10
173
2,181
2,354
1486
868
2,354","2,275
1,226
25
6
4
152
8
215
2,060
2,275
1,567
708
2,275","1,627
783
34
-
4
123
8
130
1,497
1,627
1,047
580
1,627","1,580
717
1
-
4
152
7
199
1,381
1,580
1,086
494
1,580"
