NEW STANDARDS OR AMENDMENTS,"EFFECTIVE DATE ON ANNUAL
PERIODS BEGINNING ON OR AFTER"
IFRS 17 Insurance Contracts,1 January 2023
"Amendments to IAS 1 and IFRS Practice Statement 2-
Disclosure of Accounting Policies",1 January 2023
Amendments to IAS 8 - Definition of Accounting Estimates,1 January 2023
"Amendments to IAS 12 - Deferred Tax related to Assets
and Liabilities arising from a Single Transaction",1 January 2023
