Kenya,Uganda,Group
"18,728
3,853
(1,191)
2,662","8,739
1,036
(286)
750","27,467
4,889
(1,477)
3,412
28,215
11,613
5,876
685"
"21,363","6,852",
"6,527","5,086",
"2,310","3,566",
517,168,
