Director,Category,"Bamburi
Cement",NCGC,Audit Committe,Hima Cement
J Simba,Non-executive,4/4,2/2,-,4/4
C Kisire,Non-executive,4/4,-,4/4,-
S M’Mbijjewe,Non-executive,4/4,-,4/4,-
S Karanja,Non-executive,4/4,2/2,-,-
H Mansi,Executive,4/4,2/2,-,4/4
D Brugier,Non-executive,3/4,-,3/4,-
D Njoroge,Executive,1/1,-,-,1/1
D Pettersson,Executive,2/2,-,-,3/3
E Kironde,Executive,4/4,-,-,4/4
T Farrell,Non-executive,1/1¹,0/2,-,-
C Langreney,Non-executive,3/4,-,-,-
Alternate,Alternate To,,,,
F Olivares,T Farrell,3/3,-,-,-
