Column,COMPANY,Column,Column
,,2012,2011
,Holding %,Shs’million,Shs’million
"Simbarite Limited (Kenya)
Less: impairment provision*
Bamburi Special Products Limited
Bamburi Cement Limited, Uganda (Kenya)
HimCem Holdings Limited (Channel Islands)
Lafarge Eco Systems Limited (Kenya)
Diani Estate Limited (Kenya)
Kenya Cement Marketing Limited (Kenya)
Portland Mines Limited (Kenya)
Seruji Management Limited (Channel Islands)","100
100
100
100
100
100
56
56
100","53
(22)
31
20
-
911
5
1
-
-
-
968","53
(22)
31
20
-
911
5
1
-
-
-
968"
