At 1.01.2017,"Profit or loss
(Note 12(a))","Other
comprehensive
income (Note
12(a))","Foreign
exchange
adjustment*","At
31.12.2017"
Shs’million,Shs’million,Shs’million,Shs’million,Shs’million
"3,157",(116),"1,897",-,"4,938"
(204),14,7,-,(183)
(71),3,-,-,(68)
102,(72),-,-,30
(11),19,-,-,8
(39),(8),-,-,(47)
(38),(22),-,-,(60)
2,(7),-,-,(5)
(224),53,-,-,(171)
-,(13),-,-,(13)
-,36,-,-,36
-,(23),-,-,(23)
-,(12),-,-,(12)
-,-,-,14,14
-,-,12,-,12
"2,674",(148),"1,916",14,"4,456"
