No,Pillar,Action,Status
,Road Safety,"Improvement in Road Safety with focus on driver management, relationships
with transporters and *IVMS upgrade for all transporters not meeting specs",Done
,Health,Health Program maturity assessment and follow-up actions,Done
,*HSMS Audits,"Cross plants HSMS audits by cross functional teams from different sites with
inclusion of Area team",Done
,"H&S Leadership
Training",H&S Leadership Training for Supervisors,Done
,Housekeeping,"Each site to identify and implement an iconic action on housekeeping each
quarter",Done
,"Fatality Prevention
Action","Implement actions from structural integrity survey carried out in 2016 for
Mombasa Plant",Done
