Share,"Asset
revaluation","Available-
for-sale",Retained,Total
capital,reserve,reserve,earnings,equity
Shs’million,Shs’million,Shs’million,Shs’million,Shs’million
Note 24,Note 25(a),Note 25(b),,
"1,815","7,214",332,"11,691","21,052"
-,-,-,"3,779","3,779"
-,-,(257),25,(232)
-,-,(257),"3,804","3,547"
-,(224),-,224,-
-,-,-,"(2,541)","(2,541)"
-,-,-,"(2,178)","(2,178)"
-,-,-,"(4,719)","(4,719)"
"1,815","6,990",75,"11,000","19,880"
