VOLUME,NUMBER OF SHARES,%,NUMBER OF HOLDERS
,"240,231",0.07%,"1,122"
,"2,452,151",0.68%,"1,199"
,"1,703,954",0.47%,234
,"11,280,304",3.11%,360
,"30,901,999",8.51%,104
,"316,380,636",87.17%,10
,"362,959,275",100.00%,"3,029"
