(Loss)/gain on disposal of assets,(3),(116),(3),(13)
Foreign exchange losses,"(1,727)",(379),(401),(377)
Foreign exchange gains,79,305,79,304
Net foreign exchange losses),"(1,648)",(74),(322),(73)
Total other gains and losses,"(1,652)",(190),(326),(86)
