Notes,"2009
Shs’million","2008
Shs’million"
"15(b)
16
17
18
19
20
34 (iii)","8,400
1
100
556
968
906
-","7,606
1
22
1,734
968
2,186
41
12,558
392
4,140
2,120
1,127
7,779
20,337
1,815
2,309
1,840
7,586
13,550
1,712
486
2,198
-
30
91
3,364
1,104
4,589
20,337"
,"10,931",
"11(c)
22
23(a)
24","-
3,409
2,203
5,865",
,"11,477",
,"22,408",
"25
26(a)
26(b)","1,815
2,126
703
12,094",
,"16,738",
"27
28","1,762
500",
,"2,262",
"11(c)
14(a)
28
29
30(b)","328
30
149
2,901
-",
,"3,408",
,"22,408",
