GRI STANDARD,DISCLOSURE,LOCATION
GRI General Disclosures,,
"GRI 416: Customer Health
and Safety","416-1 Assessment of the health and safety impacts
of product and service categories","Material Topic, Sustainable Procurement"
,"416-2 Incidents of non-compliance concerning the
health and safety impacts of products and services","Material Topic, Sustainable Procurement"
"GRI 417: Marketing and
Labelling","417-1 Requirements for product and service
information and labelling","Material Topic, Sustainable Procurement"
,"417-2 Incidents of non-compliance concerning
product and service information and labelling","Material Topic, Sustainable Procurement"
,"417-3 Incidents of non-compliance concerning
marketing communications","Material Topic, Sustainable Procurement"
GRI 418: Customer Privacy,"418-1 Substantiated complaints concerning
breaches of customer privacy and losses of
customer data","Material Topic, Sustainable Procurement"
