Notes,"2010
Shs’million","2009
Shs’million"
4,"28,075
(18,457)","29,994
(19,179)
10,815
103
1,775
(846)
(89)
(1,422)
(726)
(14)
9,596
(2,626)
6,970
67
60
(1,197)
-
(1,070)
5,900
6,649
321
6,970
5,562
338
5,900
Shs 18.32
Shs 11.00"
"5
6
7
8
9","9,618
143
230
(467)
(173)
(1,064)
(632)
(91)",
11,"7,564
(2,265)",
12,"5,299",
"20(b)
20(c)","(654)
5
-
28",
,(621),
,"4,678",
,"5,089
210",
,"5,299",
,"4,662
16",
,"4,678",
13,Shs 14.02,
14(c),Shs 8.50,
