Total amount,0-30 days,31-90 days,91-120 days,"120 days and
above"
Shs’million,Shs’million,Shs’million,Shs’million,Shs’million
"2,682","1,022",865,476,319
"2,313",871,549,380,513
"2,010",-,-,-,"2,010"
684,379,30,-,-
"2,155","1,306",589,81,179
