"2018
Shs’ Millions",Column,"2018
Shs’ Millions"
"1,371",,528
"4,300",,"1,944"
"25,362",,"11,640"
"31,033","21,678","14,112"
,"-
(1,048)
(8,700)",
,,-
"(1,242)",,(554)
"(9,841)",,"(6,550)"
"(11,083)","(9,748)","(7,104)"
"19,950","11,930","7,008"
