Director,Category,Board,"Audit & Risk
Committee","NR&HR
Committee",AGM
,Non-executive,8/8,-,2/2,1/1
,Executive,8/8,7/7,2/2,1/1
,Non-executive,8/8,7/7,2/2,1/1
,Executive,8/8,6/7,-,1/1
,Non-executive,7/8,-,2/2,1/1
,Executive,4/5,1/2,-,1/1
,Non-executive,8/8,7/7,-,1/1
,Non-executive,8/8,7/7,2/2,1/1
,Executive,2/3,2/5,-,-
,Non-executive,7/8,7/7,-,0/1
,Non-executive,5/8,-,0/2,0/1
,None-executive,6/7,-,-,1/1
