Director,Category,Board,"Audit & Risk
Committee","NR&HR
Committee",AGM
,Non-executive,8/8,-,3/4,1/1
,Executive,7/7,4/4,3/3,1/1
,Non-executive,7/8,4/5,3/3,1/1
,Executive,6/7,3/3,-,1/1
,Non-executive,5/8,-,3/4,1/1
,Non-executive,2/2,-,1/1,-
,Non-executive,8/8,5/5,-,1/1
,Non-executive,4/4,1/1,1/1,-
,Executive,6/7,4/4,-,1/1
,Non-executive,4/8,-,-,0/1
,Non-executive,8/8,5/5,-,0/1
,Non-executive,3/5,-,1/2,1/1
,Executive,1/1,1/1,-,-
,Alternate,1/1,-,-,-
