2023,"2022
Restated"
KShs,KShs
"30,857,218,143","26,213,394,371"
"(13,217,831,223)","(13,545,218,703)"
"17,639,386,919","12,668,175,667"
"883,056,483","823,215,642"
"977,868,372","635,347,479"
"1,111,419,800","563,957,638"
"2,972,344,656","2,022,520,759"
"(11,320,442,848)","(6,490,626,668)"
"(84,506,786)","(976,166,747)"
"(629,234,723)",-
-,"(90,972,336)"
"970,109,062)","(836,785,562)"
"(13,004,293,419)","(8,394,551,313)"
"7,607,438,155","6,296,145,113"
"(3,108,010,211)","(2,394,908,448)"
"4,499,427,944","3,901,236,665"
KShs,KShs
248,215
"1,327,713,990",-
"1,327,713,990","(5,770,462,500)"
"5,827,141,934","(1,869,225,835)"
