Column,"Within 12
months","Over 12
months",Total
AT 30 JUNE 2016,Kshs’ 000,Kshs’ 000,Kshs’ 000
,"240,089","80,000","320,089"
,"1,858,424",-,"1,858,424"
,"851,801",-,"851,801"
,"2,950,314","80,000","3,030,314"
,"233,719","80,000","313,719"
,"760,496",-,"760,496"
,"1,222,926",-,"1,222,926"
,"2,217,141","80,000","2,297,141"
