Column,MEETING,"NO. OF
MEETINGS",MEMBERSHIP,"AVERAGE
ATTENDANCE
(In Percentage -%)"
1,Full Board,23,10,77
2,Board Finance Committee,7,5,85
3,Board Human Resources Committee,35,5,94
4,Board Technical Committee,11,5,96
5,Board Audit Committee,7,5,83
6,Board Ad hoc Committee,2,5,90
7,Annual General Meeting,1,12,88
